SiteID,LayerID,Country,Period,Era,A,B,C1,C2,C3,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,H,I,Latitude,Longitude
1013711,3085020,India,UP,UP,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,20.325,74.9786
1013951,3037599,Russian Federation,UP,unknouwn,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,43.9333,132.3167
1013951,3052176,Russian Federation,UP,unknouwn,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,43.9333,132.3167
1013951,3052187,Russian Federation,UP,unknouwn,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,43.9333,132.3167
1014332,3038279,Uzbekistan,UP,UP,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,41.5723,70.1636
1014332,3038280,Uzbekistan,UP,UP,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,41.5723,70.1636
1014332,3038291,Uzbekistan,UP,UP,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,41.5723,70.1636
1014332,3038305,Uzbekistan,UP,UP,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,41.5723,70.1636
1016079,3041563,Russian Federation,UP,UP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.2,86.1833
1016079,3041714,Russian Federation,UP,unknouwn,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,51.2,86.1833
1016079,3041725,Russian Federation,UP,unknouwn,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,51.2,86.1833
1016079,3041736,Russian Federation,MP,MP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51.2,86.1833
1016080,3041574,Russian Federation,MP,MP,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,51.4243,83.0957
1016080,3081392,Russian Federation,MP,MP,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,51.4243,83.0957
1016080,3081406,Russian Federation,MP,MP,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,51.4243,83.0957
